network_size,exp,tries,time[us]
11000,75,49393,5690528291
11000,76,1215,140176720
11000,77,10324,1156918170
11000,78,7331,819555534
11000,79,16265,1871479170
11000,80,1908,225202432
11000,81,36803,4278524250
11000,82,1444,165317724
11000,83,19753,2269683572
11000,84,249,28254477
11000,85,4732,544889681
11000,86,1732,195749760
11000,87,10906,1268219220
11000,88,9532,1077859350
11000,89,33977,3903282258
11000,90,6799,794578382
11000,91,2520,291229250
11000,92,246,27921099
11000,93,26065,2933861112
11000,94,3517,394920344
11000,95,6907,790106331
11000,96,14381,1634660352
11000,97,8504,962740488
11000,98,3699,420068786
11000,99,3016,349684743
12000,0,3670,420381731
12000,1,24451,2750059400
12000,2,82,9438012
12000,3,4939,556326800
12000,4,641,72427885
12000,5,9580,1104463140
12000,6,1808,204059350
12000,7,3041,347500986
12000,8,2213,250781384
12000,9,23334,2648406138
12000,10,11685,1323986120
12000,11,10465,1166897172
12000,12,13956,1582038283
12000,13,8259,955871742
12000,14,936,108155606
12000,15,2406,276880956
12000,16,38085,4383154350
12000,17,13143,1490610176
12000,18,47957,5431504940
12000,19,10739,1239687396
12000,20,1616,184321993
12000,21,5280,614359263
12000,22,3105,357194448
12000,23,15847,1814890284
12000,24,3254,373539126
12000,25,16020,1830079272
12000,26,19325,2191565838
12000,27,62508,7163459490
12000,28,15176,1770302640
12000,29,4366,489064433
12000,30,46390,5232831744
12000,31,43266,5010507514
12000,32,4912,571016474
12000,33,35046,3931035336
12000,34,3499,403857792
12000,35,5855,671508304
12000,36,11191,1294814265
12000,37,11788,1317777343
12000,38,6631,752201868
12000,39,21792,2447787456
12000,40,1738,198253435
12000,41,1338,152683608
12000,42,5989,677984247
12000,43,713,81047772
12000,44,8223,930111588
12000,45,9623,1112114258
12000,46,4036,468334645
12000,47,6257,707807727
12000,48,8465,948660527
12000,49,15858,1807289679
12000,50,3775,439195581
12000,51,37288,4211351045
12000,52,4658,522080420
12000,53,8941,1003724082
12000,54,62693,7284832235
12000,55,9406,1086553436
