network_size,exp,tries,time[us]
10000,19,8267,167190
10000,20,10942,221782
10000,21,10140,204551
10000,22,1518,30499
10000,23,1629,33323
10000,24,253,5151
10000,25,3572,73255
10000,26,7091,143922
10000,27,1079,22025
10000,28,2844,58054
10000,29,31508,636146
10000,30,5034,101810
10000,31,6047,122214
10000,32,13430,273302
10000,33,12535,252969
10000,34,387,7814
10000,35,5715,115371
10000,36,14154,286418
10000,37,10481,211790
10000,38,10261,207462
10000,39,2721,55955
10000,40,32027,653977
10000,41,10872,220816
10000,42,756,15225
10000,43,6556,132376
10000,44,1497,30408
10000,45,2342,47586
10000,46,8574,173287
10000,47,3086,62819
10000,48,2142,44630
10000,49,27544,557551
10000,50,4511,91964
10000,51,1409,28212
10000,52,11801,242516
10000,53,22516,465227
10000,54,8648,176945
10000,55,5614,113876
10000,56,14799,301086
10000,57,16432,332901
10000,58,16283,328397
10000,59,6284,126844
10000,60,10114,204177
10000,61,15808,320697
10000,62,35224,714198
10000,63,961,19481
10000,64,5119,104998
10000,65,1075,22075
10000,66,11621,235979
10000,67,17531,353848
10000,68,21636,447641
10000,69,4097,84756
10000,70,5280,110895
10000,71,20999,424054
10000,72,4056,82021
10000,73,2972,60280
10000,74,4216,85306
10000,75,43774,890554
10000,76,12043,253898
10000,77,25195,508822
10000,78,15405,312888
10000,79,3465,70354
10000,80,15272,309231
10000,81,3473,70996
10000,82,2617,53757
10000,83,6030,122365
10000,84,9951,201835
10000,85,15910,321051
10000,86,3385,68765
10000,87,20107,407568
10000,88,3666,74452
10000,89,381,7748
10000,90,5788,117749
10000,91,8297,168128
10000,92,6534,133586
10000,93,13428,277386
10000,94,11775,244818
10000,95,4114,85297
10000,96,1556,32712
10000,97,17981,362226
10000,98,4020,81420
10000,99,1311,26573
11000,0,15661,316486
11000,1,8532,172423
11000,2,6611,133655
11000,3,2711,55559
11000,4,13354,269200
11000,5,3662,75599
11000,6,25631,521666
11000,7,1182,23659
11000,8,12699,256463
11000,9,17572,356844
11000,10,1821,37678
11000,11,4321,87921
11000,12,22646,456636
11000,13,17265,348644
11000,14,11978,242098
11000,15,16437,331398
11000,16,30603,620912
11000,17,3275,66469
11000,18,4464,90411
11000,19,10050,203863
11000,20,8821,178868
11000,21,9247,187739
11000,22,16154,327822
11000,23,3662,74095
11000,24,14403,294442
11000,25,24329,499117
11000,26,8179,164662
11000,27,1669,33433
11000,28,24805,503189
11000,29,11714,240885
11000,30,1538,32400
11000,31,13068,263429
11000,32,3940,79817
11000,33,3998,80642
11000,34,10576,213780
11000,35,2792,57037
11000,36,6702,135564
11000,37,9343,189312
11000,38,33408,678368
11000,39,22737,463038
11000,40,6003,122039
11000,41,9326,188788
11000,42,4704,94824
11000,43,16654,342584
11000,44,4268,87152
11000,45,3203,64648
11000,46,1653,33213
11000,47,413,8335
11000,48,2800,57712
11000,49,11980,242322
11000,50,3292,68283
11000,51,42154,864359
11000,52,50958,1038815
11000,53,5252,107465
11000,54,230,4975
11000,55,12710,260936
11000,56,10287,210376
11000,57,18742,378909
11000,58,13869,281147
11000,59,3597,73157
11000,60,9542,196194
11000,61,14967,312479
11000,62,17605,354600
11000,63,45074,917720
11000,64,20557,418301
11000,65,633,12732
11000,66,428,8838
11000,67,6514,132264
11000,68,2208,45190
11000,69,16704,339131
11000,70,11924,241212
11000,71,4174,86182
11000,72,35967,732933
11000,73,11901,247689
11000,74,4345,90627
11000,75,49393,1002383
11000,76,1215,24679
11000,77,10324,209967
11000,78,7331,148309
11000,79,16265,339405
11000,80,1908,40768
11000,81,36803,750750
11000,82,1444,29172
11000,83,19753,407923
11000,84,249,5079
11000,85,4732,98909
11000,86,1732,35565
11000,87,10906,224067
11000,88,9532,193338
11000,89,33977,688774
11000,90,6799,141158
11000,91,2520,51545
11000,92,246,5039
11000,93,26065,531882
11000,94,3517,71144
11000,95,6907,141267
11000,96,14381,291072
11000,97,8504,172596
11000,98,3699,76127
11000,99,3016,62589
12000,0,3670,74921
12000,1,24451,494615
12000,2,82,1674
12000,3,4939,100420
12000,4,641,12899
12000,5,9580,194106
12000,6,1808,36245
12000,7,3041,61899
12000,8,2213,44339
12000,9,23334,471079
12000,10,11685,238127
12000,11,10465,212086
12000,12,13956,281953
12000,13,8259,167962
12000,14,936,19214
12000,15,2406,48781
12000,16,38085,772362
12000,17,13143,266752
12000,18,47957,979532
12000,19,10739,218178
12000,20,1616,32687
12000,21,5280,108219
12000,22,3105,63603
12000,23,15847,321561
12000,24,3254,65973
12000,25,16020,325174
12000,26,19325,396879
12000,27,62508,1276909
12000,28,15176,311673
12000,29,4366,88231
12000,30,46390,944384
12000,31,43266,888703
12000,32,4912,100478
12000,33,35046,707912
12000,34,3499,70902
12000,35,5855,119528
12000,36,11191,230435
12000,37,11788,238253
12000,38,6631,134178
12000,39,21792,439617
12000,40,1738,35195
12000,41,1338,26796
12000,42,5989,121047
12000,43,713,14274
12000,44,8223,165884
12000,45,9623,195142
12000,46,4036,82265
12000,47,6257,126643
12000,48,8465,171517
12000,49,15858,323713
12000,50,3775,77913
12000,51,37288,758119
12000,52,4658,94460
12000,53,8941,180461
12000,54,62693,1278265
12000,55,9406,191362
12000,56,15493,314253
12000,57,5616,113632
12000,58,16334,332125
12000,59,776,15579
12000,60,9809,200388
12000,61,27258,553161
12000,62,4214,85759
12000,63,8508,171714
12000,64,6794,137293
12000,65,14156,286743
12000,66,13069,263724
12000,67,553,11080
12000,68,5252,106377
12000,69,41123,832919
12000,70,6615,136547
12000,71,32807,662748
12000,72,1057,21620
12000,73,2231,44754
12000,74,399,8214
12000,75,9245,186424
12000,76,9765,197001
12000,77,153,3081
12000,78,8549,172911
12000,79,8182,165292
12000,80,5617,116040
12000,81,14373,292447
12000,82,9337,188369
12000,83,5136,103664
12000,84,17604,355334
12000,85,17998,363239
12000,86,4828,97618
12000,87,16153,328394
12000,88,304,6127
12000,89,25444,537088
12000,90,1213,24639
12000,91,7824,158235
12000,92,3560,72160
12000,93,15567,314153
12000,94,21038,430224
12000,95,11880,240220
12000,96,5691,118809
12000,97,8505,171923
12000,98,1819,36485
12000,99,44042,890797
13000,0,11270,231165
13000,1,6014,121813
13000,2,364,7292
13000,3,26953,544167
13000,4,2662,53692
13000,5,39507,798238
13000,6,6868,139238
13000,7,4419,89320
13000,8,4694,103497
13000,9,13664,280203
13000,10,20076,411095
13000,11,14782,300675
13000,12,18532,378315
13000,13,20700,421719
13000,14,916,18470
13000,15,9167,186710
13000,16,11267,228452
13000,17,11511,234726
13000,18,11556,234521
13000,19,4343,88242
13000,20,3511,71082
13000,21,8246,167392
13000,22,6640,138728
13000,23,913,18614
13000,24,22876,463556
13000,25,9538,193031
13000,26,10757,223328
13000,27,6058,125781
13000,28,643,13387
13000,29,4730,98646
13000,30,26292,534828
13000,31,6276,129569
13000,32,3047,61825
13000,33,1520,30628
13000,34,12927,267685
13000,35,4595,93598
13000,36,8970,183271
13000,37,2582,52777
13000,38,4895,100212
13000,39,39193,798808
13000,40,18801,383536
13000,41,39452,803209
13000,42,2589,52323
13000,43,23726,479509
13000,44,48540,979052
13000,45,8753,178703
13000,46,3795,76782
13000,47,985,19786
13000,48,16087,330882
13000,49,9252,192562
13000,50,32603,666449
13000,51,5094,103382
13000,52,14917,301695
13000,53,10931,220831
13000,54,460,9279
13000,55,3254,65902
13000,56,12977,261654
13000,57,23972,486114
13000,58,2978,60983
13000,59,20466,413571
13000,60,21628,444691
13000,61,164,3442
13000,62,15698,319711
13000,63,15682,317080
13000,64,10984,227548
13000,65,1644,34573
13000,66,23356,483112
13000,67,15982,328313
13000,68,31912,658220
13000,69,3058,62721
13000,70,30559,623776
13000,71,12185,246605
13000,72,9380,189641
13000,73,12750,257165
13000,74,10069,203313
13000,75,403,8101
13000,76,10275,208301
13000,77,3737,75796
13000,78,11251,227245
13000,79,7268,147248
13000,80,10878,221473
13000,81,11489,232802
13000,82,22580,457102
13000,83,4164,84581
13000,84,22699,463856
13000,85,39301,825090
13000,86,3171,64243
13000,87,8941,181732
13000,88,18848,382232
